criterion_id,domain,criterion,minimum_expectation,preferred_expectation,weight,red_flag,next_evidence
SITE_FLOOD,flood-risk,site is outside credible floodplain and surface-water flow path,document flood history and local drainage,independent flood study with freeboard and drainage design,10,known floodplain without mitigation,docs/site-selection/flood-risk-checklist.md
SITE_SEISMIC,seismic-risk,seismic hazard identified and structural engineer engaged,local seismic classification and structural design basis,project-specific seismic design review,7,no seismic review where hazard exists,docs/site-selection/seismic-risk-checklist.md
SITE_GEOTECH,geotechnical,bearing capacity groundwater and soil risks reviewed,desktop geotechnical review,boreholes lab tests and foundation recommendation,8,no geotechnical evidence before design freeze,docs/site-selection/geotechnical-requirements.md
SITE_UTILITY,utility-capacity,grid capacity and power-quality constraints known,utility letter or connection study,firm capacity offer with upgrade path and outage data,10,no credible power connection path,docs/site-selection/utility-capacity-checklist.md
SITE_FIBRE,fibre-diversity,two independent fibre path options identified,carrier route survey,diverse entry routes and meet-me plan,9,single carrier single route only,docs/site-selection/fibre-route-diversity-checklist.md
SITE_ROAD,road-logistics,heavy equipment delivery route reviewed,road and turning access checked,documented crane fuel and emergency access plan,5,no all-weather access for fuel or emergency response,docs/site-selection/road-access-and-logistics.md
SITE_PERMIT,authority-approval,authority having jurisdiction identified,planning fire environmental and utility contacts listed,pre-application review completed,9,unknown permitting authority,docs/site-selection/authority-having-jurisdiction-checklist.md
SITE_SECURITY,security-perimeter,defensible perimeter and access control possible,boundary and setback review,layered security layout with expansion corridor,7,no controllable boundary,docs/security-physical/security-zones.md
SITE_WATER,water-and-climate,water stress dust heat humidity and corrosion risks known,climate screening,cooling strategy matched to climate and water limits,8,cooling concept depends on scarce water,docs/sustainability/water-strategy.md
SITE_EXPAND,expansion,expansion corridor and future utility route preserved,concept expansion sketch,phased site masterplan,4,no room for growth beyond pilot,docs/site-selection/site-selection-scorecard.md
