workflow_id,workflow_name,user_goal,primary_surface,service_domain,default_substrate,connector_ids,required_test_ids,required_gate_ids,automation_job_id,evidence_path,owner,status
WF_CREATE_TENANT,Create tenant and project,Create a sovereign tenant with roles quotas and audit,/infrastructure,identity,Keycloak OpenBao OPA,CONN_KEYCLOAK+CONN_OPENBAO+CONN_NETBOX,TEST_PORTAL_CONTRACT+TEST_GITOPS_POLICY+TEST_SUPPLY_CHAIN,GATE_APPROVAL+GATE_AUDIT,JOB_ASSURANCE_RUN,docs/software/unified-portal-integration-model.md,identity-owner,template
WF_PROVISION_VM,Provision virtual machine,Create a VM on the selected site substrate with quota and backup,/infrastructure,compute,Proxmox CloudStack or OpenStack,CONN_PROXMOX+CONN_CLOUDSTACK+CONN_OPENSTACK+CONN_CEPH,TEST_PORTAL_CONTRACT+TEST_ENDPOINT_POSTURE+TEST_SUPPLY_CHAIN,GATE_BUILD+GATE_SCAN+GATE_STAGING+GATE_AUDIT,JOB_ASSURANCE_RUN,docs/software/deployment-stack-profiles.md,cloud-owner,pilot
WF_PROVISION_K8S,Provision Kubernetes workload,Deploy a namespace workload or managed cluster through GitOps,/infrastructure,kubernetes,Kubernetes Argo CD Flux,CONN_KUBERNETES+CONN_ARGOCD+CONN_FLUX+CONN_HARBOR,TEST_GITOPS_POLICY+TEST_K8S_POSTURE+TEST_SUPPLY_CHAIN,GATE_BUILD+GATE_SCAN+GATE_POSTURE+GATE_STAGING+GATE_ROLLBACK,JOB_GITOPS_STAGING,docs/software/developer-platform.md,platform-owner,template
WF_PROVISION_STORAGE,Provision storage,Create block object or file storage with backup evidence,/infrastructure,storage,Ceph,CONN_CEPH+CONN_OPENBAO,TEST_PORTAL_CONTRACT+TEST_ENDPOINT_POSTURE,GATE_STATE+GATE_APPROVAL+GATE_AUDIT,JOB_ASSURANCE_RUN,docs/commissioning/backup-restore-test.md,storage-owner,template
WF_REQUEST_GPU,Request GPU or AI endpoint,Request scarce GPU capacity with queue visibility and model-serving controls,/infrastructure,ai,OpenStack Kubernetes Kueue Slurm,CONN_OPENSTACK+CONN_KUBERNETES+CONN_HARBOR,TEST_K8S_POSTURE+TEST_RUNTIME_SECURITY+TEST_SUPPLY_CHAIN,GATE_SCAN+GATE_POSTURE+GATE_STAGING+GATE_AUDIT,JOB_SECURITY_SCAN,docs/ai-ready/ai-tenant-isolation.md,ai-platform-owner,pilot
WF_PROVISION_HARDWARE,Provision physical node,Reserve rack power IPAM BMC image security and platform handoff,/infrastructure,hardware,NetBox Redfish MAAS Ironic Metal3 Tinkerbell,CONN_NETBOX+CONN_REDFISH+CONN_MAAS+CONN_IRONIC+CONN_METAL3+CONN_TINKERBELL+CONN_WAZUH,TEST_FACILITY_COMMISSIONING+TEST_ENDPOINT_POSTURE+TEST_NETWORK_VULN,GATE_POSTURE+GATE_APPROVAL+GATE_AUDIT,JOB_ASSURANCE_RUN,docs/hardware/hardware-provisioning.md,hardware-owner,pilot
WF_EXPOSE_EDGE,Expose public endpoint,Publish DNS TLS WAF cache tunnel and access policy through Edge Shield,/infrastructure,edge,PowerDNS Caddy Coraza CrowdSec WireGuard Keycloak,CONN_POWERDNS+CONN_CADDY+CONN_KEYCLOAK+CONN_OPENBAO,TEST_CONFIG_SCRIPT+TEST_NETWORK_VULN+TEST_RUNTIME_SECURITY,GATE_SCAN+GATE_STAGING+GATE_ROLLBACK+GATE_AUDIT,JOB_SECURITY_SCAN,docs/software/browser-config-management.md,edge-owner,pilot
WF_CREATE_DATA_PRODUCT,Create data product,Register source pipeline catalog policy dashboard and AI context,/infrastructure,data,OpenMetadata Trino Superset lakehouse,CONN_OPENMETADATA+CONN_TRINO+CONN_SUPERSET+CONN_OPENBAO,TEST_DATA_PLATFORM+TEST_GITOPS_POLICY+TEST_SUPPLY_CHAIN,GATE_BUILD+GATE_SCAN+GATE_STATE+GATE_AUDIT,JOB_ASSURANCE_RUN,docs/software/data-platform-service.md,data-owner,pilot
WF_RUN_UPGRADE,Run controlled upgrade,Promote an update through test rings rollback and approval,/infrastructure,upgrade,Renovate GitOps Argo CD Flux,CONN_ARGOCD+CONN_FLUX+CONN_HARBOR+CONN_DEFECTDOJO+CONN_DEPTRACK,TEST_REPO_METADATA+TEST_SUPPLY_CHAIN+TEST_K8S_POSTURE+TEST_ENDPOINT_POSTURE,GATE_DISCOVER+GATE_BUILD+GATE_SCAN+GATE_STAGING+GATE_ROLLBACK+GATE_APPROVAL+GATE_AUDIT,JOB_UPGRADE_DRY_RUN,docs/software/assurance-test-and-upgrade-fabric.md,platform-owner,implemented
WF_RUN_SECURITY_SCAN,Run security scan,Run scanners aggregate findings and assign remediation owners,/infrastructure,security,DefectDojo Dependency-Track Wazuh OpenVAS Kubescape,CONN_DEFECTDOJO+CONN_DEPTRACK+CONN_WAZUH+CONN_OPENVAS+CONN_KUBESCAPE,TEST_SUPPLY_CHAIN+TEST_K8S_POSTURE+TEST_ENDPOINT_POSTURE+TEST_NETWORK_VULN+TEST_RUNTIME_SECURITY,GATE_SCAN+GATE_POSTURE+GATE_AUDIT,JOB_FINDING_SYNC,docs/security/open-threat-management-and-scanner.md,security-owner,pilot
